"id","datum","lactatie","dim","productie","BSK","Vet","Eiwit","voer1","voer2","Voer3","Melkingen","Weigeringen","Herkauwminuten","Totale vreettijd in minuten"
"1",6491,2026-09-07,2,102,12.1,15.4,5.54,3.14,5,0.5,NA,2,1,98,104
"2",6985,2026-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971,64
"3",40392,2025-12-09,4,2,16.1,NA,4.3,5.57,2.19,0.5,NA,3,5,96,305
"4",50516,2026-06-27,4,168,45.1,59.1,3.9,3.71,4.5,1,NA,2,0,931,176
"5",5663,2026-09-08,4,276,8.5,15.6,6.35,2.95,2.84,1,NA,1,0,93,268
"6",5663,2026-09-06,4,274,11.6,21.2,5.99,3.07,3.04,1,NA,2,5,92,278
"7",9603,2026-03-06,4,200,7.1,10,4.92,3.9,2.57,0.38,NA,2,2,90,10
"8",6491,2026-05-18,1,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA
"9",6974,2026-07-19,NA,NA,NA,NA,NA,NA,0.4,0.6,NA,NA,NA,9,9
"10",5500,2026-05-12,3,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,152
"11",5500,2026-05-15,3,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,138
"12",40392,2026-06-29,4,204,29,42,3.86,3.76,2.99,1,NA,2,0,874,134
"13",5729,2026-07-08,3,21,44.5,47.2,4.23,3.55,5,0.5,NA,3,0,870,106
"14",5963,2026-03-16,3,179,35.2,49.6,4.48,3.81,2.37,0.35,NA,2,0,868,210
"15",5036,2026-01-15,6,32,36.6,37.4,5.07,3.58,4,0,NA,2,0,866,226
"16",5963,2025-12-09,3,82,37.7,45.6,4.21,3.47,4,0.5,NA,2,0,865,128
"17",5036,2026-02-04,6,52,52.6,52.6,4.78,3.47,4,0,NA,3,3,864,245
"18",5963,2025-11-17,3,60,43.9,50.5,4.32,3.51,4,0.5,NA,3,0,862,253
"19",5963,2025-12-11,3,84,36.7,44.4,4.17,3.5,4,0.5,NA,2,0,862,195
"20",5036,2026-02-07,6,55,50.2,50.2,4.27,3.46,4,0,NA,3,1,861,288
"21",6628,2026-06-21,1,208,36.5,62.5,3.81,3.55,4,0.9,NA,3,0,861,284
"22",5729,2025-12-13,2,140,56.7,78.8,4.11,3.34,4,0.5,NA,3,1,860,133
"23",5729,2025-12-11,2,138,57.5,76.5,4,3.31,4,0.5,NA,4,0,859,142
"24",5729,2025-12-19,2,146,56.2,78.1,4.18,3.32,4,0.5,NA,3,1,859,157
"25",5036,2026-03-02,6,78,47.3,49.2,5.25,3.76,4,0,NA,3,0,855,281
"26",6153,2025-12-31,2,113,35.9,47.4,4.76,3.47,4,0.5,NA,2,1,855,233
"27",5036,2026-03-06,6,82,52.6,56.8,4.33,3.8,4,0,NA,4,2,854,340
